gene,pvalue,padj,logFC
LOC101893233,0.662777218,0.99569125,-6.25E-07
LOC101893562,0.65841837,0.99569125,3.75E-07
LOC101893731,0.594153971,0.99569125,1.03E-06
LOC101894069,0.766853751,0.99569125,-4.93E-07
LOC101894241,0.426352315,0.99569125,2.52E-06
LOC101894408,0.607283093,0.99569125,1.04E-06
LOC101895290,0.447838278,0.99569125,-7.76E-07
LOC101895459,0.54515023,0.99569125,-3.16E-07
LOC101894959,0.05113036,0.99569125,-4.69E-06
LOC101895118,0.738982861,0.99569125,2.67E-06
LOC101895639,0.65841837,0.99569125,3.75E-07
LOC101895987,0.091573136,0.99569125,-1.47E-06
LOC101896796,0.564935922,0.99569125,1.15E-06
LOC101896264,NA,NA,1.07E-06
LOC101896968,0.542595497,0.99569125,-3.45E-06
LOC101897258,0.061099878,0.99569125,8.67E-06
LOC105261736,0.200118078,0.99569125,1.23E-05
LOC101897664,0.861274718,0.996283127,-0.000195818
LOC101897838,0.530421872,0.99569125,2.24E-06
LOC105261740,0.756352063,0.99569125,9.19E-07
LOC101898348,0.59276279,0.99569125,-1.95E-06
LOC109612406,0.40789006,0.99569125,-6.06E-07
LOC101898634,0.929258087,0.999855404,4.24E-06
LOC101899097,0.097653013,0.99569125,-4.75E-06
LOC101899269,0.743857237,0.99569125,1.12E-06
LOC109612411,0.832650526,0.99569125,-1.56E-07
LOC101899448,0.552078449,0.99569125,2.88E-06
LOC109612413,0.323868049,0.99569125,3.46E-06
LOC101900637,0.605076284,0.99569125,-1.26E-06
